,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
2005,0.00011155971907839681,0.07824525495392597,0.028281922747107172,7.796122245677824e-05,5.3020379628764795e-05,9.592367041824892e-05,8.890296023286343e-05,6.605638955698046e-05,7.121206794990019e-05,7.742692184814472e-05
2006,0.0001115603347064254,9.006525540267389e-05,7.631239354465914e-05,7.796082092148685e-05,5.302127362350634e-05,9.592358700138161e-05,8.890424680701549e-05,0.23628242107662376,7.121368422808554e-05,7.742713307987849e-05
2007,0.00011156072914857668,0.058569428208603544,7.631229213428089e-05,0.03125395750431933,5.302003324580697e-05,9.59231389591049e-05,8.890308106074212e-05,0.07081061046929073,7.121190233168277e-05,7.742589913901666e-05
2008,0.00011155991882517863,9.006565525736907e-05,0.030041069808895222,0.09937505876971452,5.3019662954515586e-05,9.592250884737371e-05,8.890239304434857e-05,6.605583938753182e-05,7.121122185314216e-05,7.742599499988243e-05
2009,0.00011156163173809231,9.006455808976239e-05,7.631223160463847e-05,0.06162087716853205,5.3020501321975635e-05,9.592287051152321e-05,8.890272028381679e-05,0.10995232916955988,7.121250839341002e-05,7.742601686967131e-05
2010,0.00011156002090204795,9.006686182568993e-05,0.08330358105230327,0.0573212578512991,5.302233575915563e-05,9.592361612931541e-05,8.890602891271858e-05,6.605770495759094e-05,7.121479403860246e-05,7.742722497725861e-05
2011,0.0001115624629878327,0.08592310189665153,7.631372573695469e-05,0.03706456053423735,5.301979488875168e-05,9.592346461556242e-05,8.890397696446027e-05,6.60571065262587e-05,7.121253637394952e-05,7.7426760911324e-05
2012,0.00011156473073535655,9.006549677333545e-05,7.631284576400478e-05,7.796125251981662e-05,0.13139483833903876,9.592311625170871e-05,8.89045649500169e-05,6.605913254919262e-05,7.121533888524859e-05,7.742691512623757e-05
2013,0.00011156089998381013,0.12482739822121533,7.631338283282699e-05,7.796177921595806e-05,5.3019875964805196e-05,9.592274827745781e-05,8.890319522035659e-05,6.605717609138236e-05,7.121177545306571e-05,7.742570998485324e-05
2014,0.0001115608767359574,9.006409834298488e-05,7.631107176713174e-05,7.796019357194984e-05,0.09569744669162898,9.592190376448363e-05,8.890349928518904e-05,0.016863523503049618,0.059345428686833866,7.742606142716322e-05
2015,0.00011156216978254977,9.006402801619843e-05,7.631256652584992e-05,0.11903222107286586,5.302059703321961e-05,9.592241304667165e-05,8.890300998620681e-05,0.07624296094208245,7.121259847714667e-05,7.742637630962907e-05
2016,0.00011155998168472332,0.06544380931978454,7.631278716961542e-05,7.796178525240305e-05,5.302052024878785e-05,9.592337135969519e-05,8.890358238568126e-05,0.0982514643876814,7.121211628040282e-05,7.742584817856801e-05
2017,0.00011155970363768106,9.006521049002836e-05,7.631260044351552e-05,7.796050734008106e-05,5.301956610166871e-05,0.15145750650711448,8.890203436486907e-05,6.605712541026939e-05,7.121153326016407e-05,7.742631582647157e-05
2018,0.00011155993746802992,9.0064623689371e-05,7.63124869674252e-05,7.79618295281865e-05,0.05597521651367802,9.592345338987038e-05,0.1233076692520219,6.605761236703839e-05,7.121263101943407e-05,7.742733381811389e-05
2019,0.00011155728944084906,9.006305010112443e-05,7.631151152275077e-05,7.795906450711493e-05,0.139467222778198,9.592126549051529e-05,8.890533647360185e-05,6.605392487150334e-05,7.121344189002236e-05,7.742781520776864e-05
2020,0.00011155743820168692,9.006367837051736e-05,7.631194280822027e-05,7.796005645945562e-05,0.07467373996983462,9.592209444953613e-05,0.08556520495087928,6.605482854756143e-05,7.121278484422892e-05,7.74274793632352e-05
